pinyin,tone,server_name,filename,url,status,size,http_status
ben,4,ben,ben4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ben4.mp3,downloaded,13791,200
beng,1,beng,beng1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/beng1.mp3,downloaded,21941,200
beng,2,beng,beng2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/beng2.mp3,downloaded,15045,200
beng,3,beng,beng3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/beng3.mp3,downloaded,18180,200
beng,4,beng,beng4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/beng4.mp3,downloaded,14418,200
bi,1,bi,bi1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bi1.mp3,downloaded,17553,200
bi,2,bi,bi2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bi2.mp3,downloaded,11284,200
bi,3,bi,bi3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bi3.mp3,downloaded,18180,200
bi,4,bi,bi4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bi4.mp3,downloaded,11284,200
bian,1,bian,bian1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bian1.mp3,downloaded,19434,200
bian,2,bian,bian2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bian2.mp3,downloaded,14418,200
bian,3,bian,bian3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bian3.mp3,downloaded,18807,200
bian,4,bian,bian4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bian4.mp3,downloaded,13791,200
biao,1,biao,biao1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/biao1.mp3,downloaded,25076,200
biao,2,biao,biao2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/biao2.mp3,downloaded,15672,200
biao,3,biao,biao3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/biao3.mp3,downloaded,22568,200
biao,4,biao,biao4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/biao4.mp3,downloaded,14418,200
bie,1,bie,bie1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bie1.mp3,downloaded,18807,200
bie,2,bie,bie2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bie2.mp3,downloaded,15045,200
bie,3,bie,bie3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bie3.mp3,downloaded,19434,200
bie,4,bie,bie4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bie4.mp3,downloaded,12537,200
bin,1,bin,bin1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bin1.mp3,downloaded,20688,200
bin,2,bin,bin2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bin2.mp3,downloaded,13791,200
